complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
773;ул.Нариманова, д.51, г. Ростов-На-Дону, Ростовская обл.;47.264501;39.71441;линейный;1;муниципальная;3;да;1;2;8800;8800;8800;8800;1,5334;0;1,5334
1002;ул.Дзержинского, д.179В, п. Зимовники, Зимовниковский р-н, Ростовская обл.;47.151907;42.485055;перекресток;0;муниципальная;3;да;1;2;100;100;100;100;1,4678;2,1238;3,5916
1038;"1 км 415 м а/д ""М-4 - пос. Каменоломни"", Октябрьский р-н, Ростовская обл.";47.698437;40.11235;линейный;1;региональная;2;нет;0;2;326;326;326;326;1,462333333;6,929;8,391333333
1085;"59 км 730 м а/д ""Шахты - г. Цимлянск"", Усть-Донецкий р-н, Ростовская обл.";47.69476;40.92447;линейный;1;муниципальная;3;нет;0;2;3200;3200;3200;3200;1,421333333;0;1,421333333
871;Стачки просп., д.71, г. Ростов-На-Дону, Ростовская обл.;47.21132;39.663833;линейный;1;муниципальная;3;да;1;6;0;0;0;0;1,380333333;0;1,380333333
866;ул.Каскадная, д.70, г. Ростов-На-Дону, Ростовская обл.;47.298571;39.785049;линейный;1;муниципальная;3;да;1;2;8800;8800;8800;8800;1,216333333;0;1,216333333
767;ул.Профсоюзная, д.132, г. Ростов-На-Дону, Ростовская обл.;47.216378;39.679147;линейный;1;муниципальная;3;да;1;2;0;0;0;0;1,202666667;0;1,202666667
742;Комарова бул., д.20В/9А, г. Ростов-На-Дону, Ростовская обл.;47.289104;39.703557;линейный;1;муниципальная;3;да;1;4;0;0;0;0;1,0578;0;1,0578
1039;"30 км 620 м а/д ""г. Ростов-на-Дону (от М-4) - г. Семикаракорск - г. Волгодонск"", Багаевский р-н, Ростовская обл.";47.165342;40.267891;линейный;1;федеральная;1;нет;0;2;1002;1002;1002;1002;0,984;0,041;0,997666667
705;ул.Немировича-Данченко, д.46/19, г. Ростов-На-Дону, Ростовская обл.;47.256703;39.697322;линейный;1;муниципальная;3;да;1;3;13200;13200;13200;13200;0,8528;0;0,8528
958;ул.Курчатова, д.2А, г. Ростов-На-Дону, Ростовская обл.;47.26388;39.776056;линейный;1;муниципальная;3;да;1;2;8800;8800;8800;8800;0,6642;0;0,6642
752;ул.Малиновского, д.30, (западная сторона), г. Ростов-На-Дону, Ростовская обл.;47.211238;39.613415;линейный;1;муниципальная;3;да;1;4;33600;33600;33600;33600;0,5494;0;0,5494
726;ул.Пойменная, д.3, 200 м. восточнее (северная сторона), г. Ростов-На-Дону, Ростовская обл.;47.202155;39.717907;линейный;1;муниципальная;3;да;1;4;0;0;0;0;0,4715;0;0,4715
1069;"7 км 155 м а/д ""г. Миллерово - г. Луганск"", Миллеровский р-н, Ростовская обл.";48.894416;40.357713;перекресток;0;региональная;2;нет;0;2;2076-4463;2076;4463;3270;0,41;0;0,41
780;Михаила Нагибина просп., д.29/18, г. Ростов-На-Дону, Ростовская обл.;47.253449;39.714184;линейный;1;муниципальная;3;да;1;6;45000;45000;45000;45000;0,35875;0;5,8384
971;ул.Онучкина, д.3, х. Ленина, Аксайский р-н, Ростовская обл.;47.115103;39.856088;линейный;1;муниципальная;3;да;1;2;500;500;500;500;0,328;0,8282;1,1562
1080;"14 км 600 м а/д ""г. Новочеркасск - п. Каменоломни"", Октябрьский р-н, Ростовская обл.";47.52181;40.11462;линейный;1;региональная;2;да;1;4;18360;18360;18360;18360;0,1845;0;0,1845
1021;"43 км 645 м а/д ""пос. Матвеев Курган - сл. Большекрепинская - сл. Родионово-Несветайская"", Родионово-Несветайский р-н, Ростовская обл.";47.592348;39.383241;линейный;1;региональная;2;да;1;2;1417;1417;1417;1417;0,1804;0;0,1804
795;ул.Сарьяна, д.44, г. Ростов-На-Дону, Ростовская обл.;47.229345;39.773582;перекресток;0;муниципальная;3;да;1;2;8800;8800;8800;8800;0,17425;0;0,17425
718;ул.Московская, д.9/17, г. Ростов-На-Дону, Ростовская обл.;47.215791;39.701186;перекресток;0;муниципальная;3;да;1;2;13200;13200;13200;13200;0,1025;0;8,1016
906;ул.Орская, д.102, 500 севернее (западная сторона), г. Ростов-На-Дону, Ростовская обл.;47.312313;39.784615;линейный;1;муниципальная;3;да;1;2;0;0;0;0;0,082;0;0,451
783;Ленина просп., д.245/2, г. Ростов-На-Дону, Ростовская обл.;47.249321;39.754916;линейный;1;муниципальная;3;да;1;4;26000;26000;26000;26000;0,082;0;0,082
1082;"69 км 690 м а/д "" г. Семикаракорск - сл. Большая Мартыновка - пос. Красноармейский"", Мартыновский р-н, Ростовская обл.";47.276066;41.659101;линейный;1;региональная;2;да;1;2;3014-3428;3014;3428;3221;0,041;0;0,041
1042;"325 км 200 м а/д Р-260 ""г. Волгоград - г. Каменск-Шахтинский - г. Луганск"", Каменский р-н, Ростовская обл.";48.178653;40.504302;перекресток;0;федеральная;1;нет;0;2;325-11522;325;11522;5924;0,041;0;0,041
1030;"2 км 350 м а/д ""г. Ростов-на-Дону - сл. Родионово-Несветайская"", Мясниковский р-н, Ростовская обл.";47.314594;39.646855;линейный;1;региональная;2;нет;0;2;13033;13033;13033;13033;0;59,532;59,532
911;Ворошиловский просп., д.48, (перекресток пр-кт Ворошиловский - ул. Красноармейская), г. Ростов-На-Дону, Ростовская обл.;47.22885;39.716104;перекресток;0;муниципальная;3;да;1;6;0;0;0;0;0;0;27,1502
964;Привокзальная пл., д.7/1, (от д. 7/1 до д. 3 А), г. Ростов-На-Дону, Ростовская обл.;47.219603;39.692344;перекресток;0;муниципальная;3;да;1;3;0;0;0;0;0;0;20,5615
908;ул.Максима Горького, д.293, (перекресток пр-кт Театральный - ул. Максима Горького), г. Ростов-На-Дону, Ростовская обл.;47.231981;39.74012;перекресток;0;муниципальная;3;да;1;4;17600;17600;17600;17600;0;0;18,081
962;Привокзальная пл., д.3А, г. Ростов-На-Дону, Ростовская обл.;47.218889;39.694167;перекресток;0;муниципальная;3;да;1;3;0;0;0;0;0;0;15,375
